size_bucket,gcn_mae,vn_mae
0-10,0.1589931413353704,0.16010842273804557
11-20,0.13372998379888384,0.14222714755704985
21-30,0.23141581210374682,0.2132799149090063
31-40,0.5077737316770373,0.476064606657568
41+,0.4792088270187378,1.4499559601147969
